411.61,110.28
183.17,31.17
152.06,39.17
140.50,40.94
177.83,181.39
160.06,247.17
250.72,249.83
340.50,188.50
399.17,15.17
319.17,25.83
328.94,17.83
341.39,25.83
358.28,65.83
358.28,50.72
364.50,35.61
372.50,53.39
269.39,46.28
308.50,61.39
248.06,51.61
189.39,203.61
183.17,410.72
81.83,67.61
455.17,31.17
481.83,48.06
470.28,42.72
497.83,56.06
441.83,79.17
423.17,75.61
293.39,55.17
143.74,74.02
178.02,114.40
208.50,86.21
217.64,85.45
218.40,66.40
218.40,70.98
255.74,47.36
223.74,55.74
100.31,48.88
32.50,118.98
27.93,138.02
47.74,156.31
51.55,125.83
18.02,108.31
32.50,48.12
41.64,21.45
79.74,241.64
69.83,251.55
53.83,218.02
46.98,174.60
89.64,185.26
100.31,208.88
210.79,279.74
210.02,217.26
255.74,190.60
230.60,213.45
199.36,150.98
190.21,167.74
158.21,259.17
238.98,303.36
304.50,179.17
328.88,85.45
315.17,81.64
290.02,121.26
275.55,125.83
233.64,156.31
327.36,179.93
296.88,192.88
246.60,218.02
279.36,216.50
275.55,205.07
220.69,231.74
326.60,232.50
323.55,250.02
278.60,225.64
409.64,244.69
411.93,230.21
423.36,205.07
414.21,160.12
413.45,176.88
465.26,115.93
489.64,139.55
488.88,160.12
450.79,150.21
427.17,171.55
440.12,134.21
449.26,127.36
453.83,113.64
429.45,186.02
481.26,201.26
456.12,207.36
478.21,237.83
456.88,238.60
443.93,246.21
470.60,294.98
466.79,272.12
424.88,246.21
437.83,241.64
397.45,201.26
363.29,276.57
367.08,288.69
386.01,288.69
397.38,287.17
386.01,245.52
467.06,306.87
467.81,315.20
357.23,304.59
417.83,365.94
485.99,366.70
479.17,372.00
467.81,365.94
276.19,403.81
273.92,393.97
280.74,388.67
255.74,415.17
280.74,421.23
360.26,437.90
385.26,386.39
464.78,412.90
385.26,432.59
372.38,423.51
305.73,373.52
80.03,340.95
79.27,325.04
89.87,330.35
94.42,323.53
176.22,274.30
373.90,471.98
471.60,490.16
434.49,484.10
472.36,465.92
495.08,421.99
298.91,297.78
288.31,305.35
340.57,323.53
362.54,323.53
397.11,354.08
431.99,359.27
159.67,299.91
114.40,399.34
31.29,164.86
66.91,211.61
402.31,55.78
227.19,351.85
253.90,464.64
351.11,439.41
328.85,460.19
404.53,450.54
422.34,380.79
411.96,381.53
256.87,340.72
119.60,368.18
121.08,353.33
122.56,276.16
124.05,265.78
88.43,94.37
175.25,74.33
155.21,86.20
150.76,126.27
207.16,424.57
121.08,414.92
103.27,303.62
265.03,79.53
154.47,333.30
170.80,341.46
219.03,432.73
296.94,413.44
216.06,368.92
187.86,362.98
271.71,459.44
286.55,486.90
384.50,330.33
399.34,332.56
193.00,126.00
83.20,14.35
70.53,17.51
51.54,22.26
47.59,32.55
45.21,50.75
54.71,48.38
50.75,55.50
41.25,60.25
26.22,30.97
11.97,27.80
31.76,89.53
43.63,84.78
51.54,81.61
64.99,68.95
68.95,61.83
38.88,98.23
19.89,118.01
9.60,116.43
13.56,151.25
11.97,168.66
26.22,181.32
45.21,193.19
61.04,226.43
58.66,243.05
53.12,250.96
44.42,254.13
35.71,247.00
32.55,249.38
30.18,258.87
28.59,273.91
43.63,285.78
53.12,283.41
20.68,217.72
27.80,225.64
90.32,142.55
78.45,144.92
110.89,151.25
118.81,151.25
104.56,172.62
75.28,186.86
81.61,191.61
95.07,220.10
76.07,219.31
144.92,182.11
152.83,142.55
140.17,163.91
129.09,127.51
134.63,131.47
121.18,122.76
62.62,127.51
71.33,137.80
83.20,114.06
81.61,100.61
94.27,106.94
117.22,73.70
156.79,108.52
152.04,106.94
163.91,88.73
171.83,83.20
197.94,81.61
195.57,91.11
220.89,97.44
239.88,38.88
234.34,46.79
249.38,11.18
228.01,11.18
230.39,28.59
209.81,8.02
195.57,5.64
285.78,42.05
286.57,78.45
298.44,95.86
330.89,95.86
335.63,106.94
339.59,128.30
357.00,130.68
366.50,126.72
365.71,139.38
380.74,132.26
379.16,144.13
375.99,154.42
375.99,162.33
363.33,154.42
354.63,154.42
357.00,163.91
323.76,149.67
316.64,148.88
294.48,143.34
287.36,139.38
274.70,157.58
292.11,174.20
280.24,182.90
242.26,179.74
226.43,186.07
261.25,219.31
262.04,235.13
273.91,281.03
296.07,281.03
319.81,295.28
319.81,303.98
415.56,52.33
438.51,19.89
464.62,24.64
478.87,19.89
506.56,11.97
499.44,13.56
487.57,23.05
509.73,29.38
471.75,76.86
474.12,55.50
485.20,80.82
482.03,88.73
487.57,94.27
495.49,91.90
498.65,99.02
495.49,116.43
479.66,126.72
467.00,152.83
475.70,152.83
491.53,189.24
492.32,201.11
494.69,212.98
481.24,212.98
470.95,184.49
422.68,223.26
486.78,244.63
493.90,248.59
503.40,247.80
494.69,266.79
477.29,293.69
497.07,305.56
478.87,315.06
488.36,322.18
504.98,321.39
502.61,332.47
315.06,118.81
384.70,203.48
194.78,285.78
126.72,287.36
111.68,291.32
114.85,273.91
103.77,278.66
92.69,269.16
82.40,266.00
88.73,277.07
72.91,288.95
91.90,306.35
79.24,307.15
121.97,309.52
124.35,302.40
150.46,312.69
178.16,318.22
197.15,327.72
212.98,350.67
209.02,322.97
167.87,289.74
218.52,243.84
205.85,235.93
197.94,215.35
178.95,230.39
131.47,228.01
118.81,232.76
119.60,224.05
121.97,160.75
258.08,324.56
247.80,336.43
129.09,326.93
120.39,335.63
311.10,413.19
330.89,413.19
322.18,415.56
319.81,407.65
309.52,391.03
