93.00,101.00;69.00,83.00
186.00,200.00;177.00,182.00
169.76,182.45;51.70,59.32
188.37,173.14;66.09,76.24
199.38,212.92;52.55,57.62
307.70,289.08;42.39,51.70
322.09,334.78;79.63,84.70
375.40,370.32;83.01,96.55
351.71,361.86;63.55,70.32
355.09,364.40;45.78,57.62
331.40,347.48;69.47,72.01
346.63,329.70;57.62,60.16
331.40,339.86;38.16,25.47
342.40,355.09;33.93,23.77
323.78,331.40;39.01,51.70
319.55,314.47;28.85,46.62
37.74,40.28;33.08,49.16
39.43,33.50;63.55,77.93
47.89,56.35;66.09,77.93
31.81,36.89;58.47,44.93
26.73,17.43;17.85,32.24
102.90,123.21;22.08,17.85
107.13,102.05;50.01,35.62
107.98,103.75;7.69,24.62
122.36,121.52;110.09,94.01
179.91,162.99;88.09,86.40
140.14,134.21;78.78,64.39
73.28,71.59;116.02,99.94
86.82,77.51;120.25,107.55
144.37,159.60;116.02,123.63
228.15,212.07;77.09,82.17
212.07,221.38;90.63,103.32
207.84,214.61;28.85,41.54
216.30,223.07;22.93,40.70
224.76,231.53;28.85,40.70
202.76,201.91;10.23,28.85
107.13,122.36;183.72,187.10
52.97,43.66;182.03,168.49
35.20,23.35;164.26,153.25
277.23,283.16;94.01,109.25
265.39,270.46;106.71,121.94
268.77,277.23;96.55,111.79
276.39,291.62;71.16,73.70
305.16,287.39;58.47,61.01
245.92,255.23;113.48,126.17
1.35,13.19;75.40,86.40
32.66,23.35;89.78,77.09
47.89,49.58;138.02,123.63
87.11,103.97;147.28,148.04
87.11,101.67;134.25,143.45
94.78,95.54;139.61,121.22
110.87,121.60;185.60,173.34
168.36,150.73;96.69,100.52
195.18,208.21;125.05,136.55
199.01,208.98;117.39,131.18
264.16,270.30;76.76,90.56
284.09,264.16;144.21,148.81
307.09,322.42;186.37,195.57
364.57,350.78;77.53,83.66
404.43,415.93;146.51,135.78
463.45,473.41;138.85,153.41
445.82,460.38;164.91,154.18
447.35,459.61;151.11,145.75
418.99,414.39;148.81,164.14
422.06,425.89;164.14,179.47
427.42,443.52;96.69,95.16
425.89,440.45;109.72,102.06
404.43,409.79;80.60,98.22
344.64,359.97;162.61,167.21
359.21,371.47;154.18,162.61
301.72,318.58;196.33,206.30
321.65,320.88;261.48,276.04
304.02,304.79;269.91,285.24
313.22,313.22;253.82,269.91
320.88,325.48;246.15,261.48
227.37,235.04;213.19,227.76
273.36,284.86;192.50,202.46
264.16,277.19;178.70,186.37
100.14,82.51;200.16,202.46
38.06,53.39;296.74,304.40
209.75,211.28;214.73,228.52
187.52,202.85;294.44,300.57
185.22,200.55;283.71,291.37
34.22,32.69;366.49,378.75
43.42,42.66;389.48,404.81
215.11,221.24;118.15,129.65
126.97,133.10;26.94,42.27
44.96,55.69;215.49,204.00
34.99,45.72;217.03,205.53
42.66,55.69;230.82,238.49
18.90,34.99;228.52,232.36
44.96,39.59;273.75,258.42
41.12,28.09;278.34,268.38
21.96,30.39;268.38,281.41
143.06,125.43;278.34,285.24
118.54,101.67;286.78,284.48
126.97,110.87;279.11,287.54
159.16,159.16;282.94,299.81
157.63,143.83;272.98,283.71
187.52,174.49;256.88,263.78
176.02,190.58;269.91,279.11
170.66,166.82;255.35,270.68
169.12,183.69;286.78,295.97
217.89,225.61;343.76,355.35
206.30,213.25;337.59,350.71
458.83,466.55;224.84,214.03
487.40,498.21;227.15,216.34
473.50,484.31;237.19,227.93
461.15,468.87;188.54,202.44
428.71,435.66;187.00,175.41
343.76,356.89;118.27,122.90
380.83,367.70;122.13,116.72
380.83,365.39;214.03,214.80
300.52,285.07;173.87,167.69
283.53,297.43;173.10,177.73
317.51,298.97;143.75,140.66
437.98,417.90;224.84,224.84
422.53,421.76;226.38,241.83
416.36,407.09;236.42,246.46
404.77,399.37;208.62,223.29
347.63,336.04;322.14,330.64
342.22,357.66;339.13,341.45
387.78,387.01;311.33,298.20
471.18,485.09;247.23,240.28
397.82,405.54;272.72,283.53
383.92,391.64;275.03,285.07
352.26,353.03;219.43,234.10
346.85,349.17;228.70,242.60
233.33,247.23;328.32,328.32
174.64,187.77;414.04,422.53
32.55,23.28;482.00,468.10
123.67,132.17;319.82,330.64
143.75,138.35;342.22,356.89
132.94,126.76;359.21,373.11
216.34,229.47;237.97,245.69
102.05,86.61;307.47,301.29
349.94,331.41;427.94,430.26
232.00,224.00;316.00,326.00
253.44,241.98;330.24,336.36
318.40,304.64;366.92,368.45
288.60,297.77;365.40,369.22
284.01,293.18;373.80,376.86
155.63,167.09;378.39,374.57
158.69,160.21;465.50,476.20
192.31,187.72;474.67,486.14
454.42,454.42;407.43,418.12
420.03,415.45;479.26,490.72
401.69,407.04;379.91,389.85
413.16,401.69;341.71,342.47
427.68,416.21;317.25,316.49
436.08,441.43;330.24,341.71
439.14,452.89;327.19,331.77
336.74,322.98;372.27,369.22
297.77,289.36;474.67,481.55
312.29,299.29;484.61,486.90
300.82,297.00;428.06,440.29
281.72,272.55;434.94,441.05
272.55,263.38;422.71,431.88
298.53,292.42;400.55,410.48
111.31,110.54;398.26,408.95
71.57,82.27;425.00,421.18
50.94,62.40;422.71,428.82
57.81,56.29;465.50,478.49
50.94,61.63;455.57,450.22
27.25,38.71;417.36,411.25
203.01,202.24;384.50,373.80
201.48,214.47;391.38,395.20
223.64,228.23;384.50,395.96
