365.57,350.42;91.77,90.25
367.08,372.38;104.64,115.25
320.88,329.97;109.94,117.52
341.33,331.48;106.91,118.28
388.29,400.41;124.33,130.39
336.03,321.64;134.18,137.97
344.36,349.66;131.15,144.03
324.67,335.27;147.06,154.63
314.82,314.06;156.90,169.02
253.47,264.83;129.64,137.21
242.11,235.29;76.62,87.22
251.20,258.01;73.59,85.71
214.84,200.45;103.88,104.64
223.93,231.51;99.34,116.00
222.42,233.02;91.01,100.86
276.19,261.80;106.16,109.19
290.58,297.40;99.34,112.97
301.19,301.19;97.83,82.68
181.52,169.40;79.65,83.43
195.91,183.79;83.43,87.98
194.39,181.52;94.04,97.07
203.48,190.61;119.03,124.33
196.67,182.28;145.54,147.81
219.39,210.30;136.45,144.03
210.30,195.91;162.96,162.96
231.51,214.84;169.02,172.05
275.43,271.65;23.60,37.99
293.61,306.49;22.84,29.66
414.04,421.61;29.66,44.81
458.72,448.88;25.12,31.17
437.52,443.58;89.49,100.10
451.91,457.21;91.77,103.13
263.32,272.41;57.68,47.08
287.55,300.43;56.93,58.44
326.94,331.48;70.56,82.68
350.42,355.72;47.84,58.44
342.84,353.45;53.90,65.26
117.14,132.29;72.83,69.80
126.99,114.87;63.74,67.53
99.72,89.12;73.59,81.92
115.62,108.81;47.84,58.44
106.54,95.93;62.99,71.32
110.32,119.41;29.66,39.51
98.20,88.36;55.41,64.50
18.68,14.13;9.21,19.06
17.16,6.56;34.20,41.02
23.98,16.41;190.99,180.38
47.46,61.85;188.71,190.23
67.91,52.00;180.38,180.38
52.00,52.00;180.38,180.38
71.70,62.61;153.12,161.45
108.05,95.93;146.30,155.39
82.30,80.78;330.35,318.23
55.03,40.64;323.53,323.53
27.01,13.38;318.23,319.74
29.28,16.41;306.11,306.11
89.87,74.72;284.90,284.14
99.72,94.42;287.93,278.09
122.44,108.81;295.51,295.51
130.01,116.38;317.47,315.96
151.98,137.59;306.87,303.84
151.98,142.13;298.54,289.45
159.55,149.71;295.51,287.17
151.98,139.86;82.68,75.86
362.54,353.45;162.20,169.78
443.58,456.45;215.98,224.31
392.07,384.50;281.12,289.45
374.65,359.51;293.23,290.20
379.96,374.65;280.36,268.24
373.90,358.75;270.51,266.72
360.26,366.32;255.36,244.76
329.21,312.55;267.48,272.03
304.22,317.85;284.90,285.66
