214.60,203.17;35.93,33.64
235.17,227.55;54.21,42.02
214.60,208.50;64.12,53.45
193.26,193.26;86.21,73.26
207.74,198.60;112.88,104.50
175.74,169.64;134.98,125.07
98.79,89.64;94.60,85.45
130.02,136.88;48.88,39.74
136.88,148.31;52.69,61.83
146.79,160.50;46.60,45.07
56.88,70.60;124.31,121.26
73.64,85.83;112.88,113.64
60.69,72.88;105.26,105.26
57.64,69.83;86.21,89.26
165.07,178.79;106.79,109.83
161.26,174.21;98.40,102.21
176.50,190.98;81.64,81.64
103.36,106.40;200.50,186.79
101.83,93.45;179.93,170.02
82.02,94.98;144.88,142.60
70.60,70.60;141.83,130.40
50.79,45.45;171.55,160.88
47.74,51.55;142.60,131.17
73.64,63.74;179.17,189.07
70.60,80.50;203.55,193.64
223.74,213.83;192.12,181.45
296.88,307.55;117.45,125.83
293.07,296.88;132.69,120.50
290.02,277.07;118.21,112.88
258.02,262.60;111.36,99.93
244.31,234.40;182.98,189.83
229.83,238.21;224.88,234.02
341.83,331.93;138.02,130.40
370.02,373.07;177.64,189.83
357.83,361.64;102.98,117.45
334.98,328.12;71.74,60.31
472.12,458.40;136.50,142.60
384.50,394.40;35.17,23.74
392.12,395.93;38.98,27.55
395.17,402.02;49.64,59.55
400.50,408.12;37.45,26.79
411.17,402.79;144.12,151.74
398.98,388.31;152.50,144.88
484.31,475.17;107.55,96.88
318.21,322.79;160.88,170.02
322.79,328.88;182.21,191.36
276.31,283.17;224.12,235.55
161.26,174.21;294.98,287.36
158.21,171.17;300.31,299.55
187.17,173.45;305.64,311.74
196.31,210.02;319.36,319.36
241.26,240.50;278.98,263.74
229.07,221.45;281.26,267.55
360.12,367.74;365.07,353.64
482.02,487.36;357.45,370.40
488.12,500.31;342.21,342.21
478.98,487.36;344.50,351.36
469.83,475.17;308.69,317.83
460.69,468.31;291.17,299.55
459.93,465.26;255.36,269.07
443.93,445.45;304.88,317.07
459.17,460.69;300.31,314.02
490.40,493.45;236.31,249.26
356.31,368.50;268.31,263.74
139.17,142.98;364.31,352.12
90.40,82.79;465.64,454.98
393.64,407.36;304.88,298.02
311.36,306.02;465.64,454.21
286.98,271.74;419.93,420.69
97.26,107.17;334.60,340.69
324.31,336.50;383.36,373.45
305.26,318.21;190.60,196.69
289.26,299.93;192.88,198.98
289.26,299.17;201.26,205.83
280.12,281.64;193.64,207.36
292.31,296.12;258.40,269.83
269.45,273.26;280.50,292.69
462.21,467.55;449.64,462.60
494.21,499.55;435.17,422.21
485.83,493.45;419.17,409.26
475.17,468.31;406.21,414.60
443.17,444.69;471.74,485.45
433.26,435.55;488.50,499.17
430.98,434.02;460.31,471.74
409.64,414.21;461.83,472.50
415.74,420.31;461.07,470.21
334.98,321.26;490.02,490.02
360.88,348.69;489.26,485.45
373.07,360.12;506.02,506.02
347.93,333.45;477.83,479.36
340.31,327.36;470.98,472.50
194.02,179.55;501.45,501.45
196.31,180.31;494.60,490.02
97.26,97.26;221.07,209.64
289.26,279.36;290.40,300.31
420.31,424.88;332.31,343.74
429.45,429.45;336.12,347.55
313.64,314.40;260.69,275.17
341.83,334.98;246.21,256.12
352.50,345.64;252.31,262.21
347.17,336.50;268.31,274.40
98.70,107.87;250.77,238.54
443.34,457.86;15.40,11.58
452.00,447.00;171.00,179.00
266.10,256.88;82.25,73.04
315.22,299.10;80.72,76.88
318.29,326.74;94.53,107.58
337.48,349.00;59.99,69.20
351.30,335.18;50.01,49.24
332.88,315.99;30.82,36.19
295.26,303.71;10.86,23.14
252.28,256.12;46.94,33.12
265.33,276.07;27.75,20.07
272.24,259.95;11.63,20.84
245.37,253.05;12.40,3.95
155.56,167.84;32.36,36.96
148.65,162.47;127.54,132.91
172.45,187.03;168.99,172.83
191.64,204.69;162.85,168.99
238.46,247.67;133.68,146.73
28.90,29.67;229.63,214.28
91.08,82.63;431.52,420.00
58.84,64.21;379.32,366.27
458.77,454.93;271.85,286.44
487.94,474.89;181.27,178.20
473.35,464.14;146.73,157.48
448.79,428.06;161.32,161.32
426.53,412.71;148.27,134.45
417.32,413.48;68.43,81.48
251.51,258.42;216.58,230.40
249.21,240.00;203.53,188.18
112.57,121.78;165.92,152.10
89.54,90.31;270.32,286.44
297.57,292.96;296.42,312.54
302.17,299.87;261.87,275.69
343.62,360.51;228.87,231.94
324.43,308.31;242.68,236.54
391.98,405.80;223.49,231.94
382.77,403.50;228.87,227.33
397.36,411.17;220.42,211.98
418.08,427.29;218.89,234.24
372.79,388.91;246.52,248.82
391.22,401.20;258.04,271.08
439.58,428.06;367.04,382.39
438.04,453.39;326.35,337.10
471.05,474.12;324.05,339.40
463.37,466.44;329.42,349.38
461.84,477.96;390.07,386.23
369.72,352.84;407.72,411.56
395.82,401.96;473.74,488.32
257.65,246.90;457.62,446.10
269.17,275.31;446.10,460.69
204.69,188.57;446.10,441.50
210.83,194.71;472.97,463.76
203.15,188.57;481.41,473.74
100.29,123.32;484.48,483.71
306.01,306.01;425.38,425.38
313.69,326.74;429.98,444.57
209.29,226.95;390.07,400.04
102.59,124.09;384.69,390.83
107.20,116.41;415.40,430.75
117.95,117.18;410.79,393.90
114.11,114.87;304.09,286.44
86.47,86.47;225.03,242.68
