411.61,415.17;110.28,123.61
183.17,170.72;31.17,26.72
152.06,155.61;39.17,27.61
140.50,140.50;40.94,29.39
177.83,162.72;181.39,181.39
160.06,146.72;247.17,245.39
250.72,262.28;249.83,245.39
340.50,352.06;188.50,196.50
399.17,406.28;15.17,25.83
319.17,305.83;25.83,18.72
328.94,327.17;17.83,32.06
341.39,344.06;25.83,40.06
358.28,359.17;65.83,80.06
358.28,353.83;50.72,66.72
364.50,372.50;35.61,48.94
372.50,365.39;53.39,65.83
269.39,263.17;46.28,36.50
308.50,300.50;61.39,51.61
248.06,237.39;51.61,42.72
189.39,176.06;203.61,206.28
183.17,192.06;410.72,404.50
81.83,96.06;67.61,66.72
455.17,440.06;31.17,31.17
481.83,481.83;48.06,61.39
470.28,467.61;42.72,56.94
497.83,487.17;56.06,66.72
441.83,452.50;79.17,84.50
423.17,436.50;75.61,80.06
293.39,278.28;55.17,48.06
143.74,133.83;74.02,84.69
178.02,168.12;114.40,122.79
208.50,200.12;86.21,78.60
217.64,210.02;85.45,70.98
218.40,215.36;66.40,52.69
218.40,211.55;70.98,61.07
255.74,262.60;47.36,36.69
223.74,221.45;55.74,42.79
100.31,97.26;48.88,35.17
32.50,21.07;118.98,127.36
27.93,39.36;138.02,144.88
47.74,45.45;156.31,143.36
51.55,40.88;125.83,117.45
18.02,27.17;108.31,102.21
32.50,30.98;48.12,35.93
41.64,38.60;21.45,8.50
79.74,75.17;241.64,230.98
69.83,66.02;251.55,238.60
53.83,50.79;218.02,205.07
46.98,43.93;174.60,162.40
89.64,85.83;185.26,173.83
100.31,101.07;208.88,195.93
210.79,211.55;279.74,266.02
210.02,203.93;217.26,205.07
255.74,248.88;190.60,179.17
230.60,217.64;213.45,205.07
199.36,210.79;150.98,147.17
190.21,185.64;167.74,152.50
158.21,147.55;259.17,252.31
238.98,239.74;303.36,290.40
304.50,303.74;179.17,167.74
328.88,322.02;85.45,74.02
315.17,325.07;81.64,74.02
290.02,278.60;121.26,114.40
275.55,268.69;125.83,115.17
233.64,236.69;156.31,141.83
327.36,318.98;179.93,188.31
296.88,307.55;192.88,185.26
246.60,253.45;218.02,207.36
279.36,275.55;216.50,201.26
275.55,287.74;205.07,202.02
220.69,216.88;231.74,219.55
326.60,311.36;232.50,234.02
323.55,311.36;250.02,245.45
278.60,290.79;225.64,217.26
409.64,404.31;244.69,231.74
411.93,398.21;230.21,230.21
423.36,413.45;205.07,195.93
414.21,399.74;160.12,163.17
413.45,408.12;176.88,165.45
465.26,462.21;115.93,128.12
489.64,497.26;139.55,128.88
488.88,484.31;160.12,170.79
450.79,437.83;150.21,154.02
427.17,441.64;171.55,170.79
440.12,437.83;134.21,146.40
449.26,445.45;127.36,138.79
453.83,443.17;113.64,118.98
429.45,423.36;186.02,175.36
481.26,484.31;201.26,189.83
456.12,444.69;207.36,199.74
478.21,467.55;237.83,231.74
456.88,455.36;238.60,250.02
443.93,443.93;246.21,259.17
470.60,464.50;294.98,285.07
466.79,462.98;272.12,259.17
424.88,411.93;246.21,240.88
437.83,426.40;241.64,234.79
397.45,390.60;201.26,190.60
363.29,353.45;276.57,269.00
367.08,351.17;288.69,282.63
386.01,373.90;288.69,284.14
397.38,386.01;287.17,284.90
386.01,372.38;245.52,243.25
467.06,456.45;306.87,313.68
467.81,454.94;315.20,318.23
357.23,364.05;304.59,314.44
417.83,407.22;365.94,374.28
485.99,489.02;366.70,379.58
479.17,478.42;372.00,384.12
467.81,463.27;365.94,378.06
276.19,268.62;403.81,415.17
273.92,269.38;393.97,404.57
280.74,273.16;388.67,380.33
255.74,241.35;415.17,415.17
280.74,270.13;421.23,429.57
360.26,361.78;437.90,453.80
385.26,385.26;386.39,401.54
464.78,457.21;412.90,423.51
385.26,389.04;432.59,444.71
372.38,358.75;423.51,418.20
305.73,314.06;373.52,385.64
80.03,73.21;340.95,327.32
79.27,71.70;325.04,312.17
89.87,81.54;330.35,317.47
94.42,95.17;323.53,312.93
176.22,185.30;274.30,265.97
373.90,366.32;471.98,481.83
471.60,465.54;490.16,502.28
434.49,426.16;484.10,496.97
472.36,457.97;465.92,465.92
495.08,483.72;421.99,429.57
298.91,291.34;297.78,288.69
288.31,279.22;305.35,292.48
340.57,326.94;323.53,318.99
362.54,376.17;323.53,316.71
397.11,382.27;354.08,356.30
431.99,420.86;359.27,365.95
159.67,145.57;299.91,291.00
114.40,134.44;399.34,385.24
31.29,29.07;164.86,151.50
66.91,58.75;211.61,193.80
402.31,394.89;55.78,66.91
227.19,218.29;351.85,340.72
253.90,237.58;464.64,470.58
351.11,348.14;439.41,453.51
328.85,339.98;460.19,471.32
404.53,394.15;450.54,460.93
422.34,439.41;380.79,375.60
411.96,420.86;381.53,391.18
256.87,266.52;340.72,342.95
119.60,124.79;368.18,380.79
121.08,133.69;353.33,353.33
122.56,134.44;276.16,278.39
124.05,133.69;265.78,273.94
88.43,80.27;94.37,87.69
175.25,164.86;74.33,63.20
155.21,150.02;86.20,72.11
150.76,146.31;126.27,112.92
207.16,197.51;424.57,436.44
121.08,133.69;414.92,412.70
103.27,112.92;303.62,308.07
265.03,271.71;79.53,98.08
154.47,144.08;333.30,329.59
170.80,156.70;341.46,341.46
219.03,212.35;432.73,445.35
296.94,296.20;413.44,429.76
216.06,204.93;368.92,362.98
187.86,176.73;362.98,364.47
271.71,268.00;459.44,476.51
286.55,282.84;486.90,496.55
384.50,376.34;330.33,338.49
399.34,387.47;332.56,339.24
193.00,194.00;126.00,111.00
